COUNTRY,DATE,ISO3,WHO_REGION,TOTAL_CONF_CASES,TOTAL_PROB_CASES,TOTAL_CONF_DEATHS,NEW_CONF_CASES,NEW_PROB_CASES,NEW_CONF_DEATHS
Mozambique,2022-01-05,MOZ,AFRO,0,0,0,0,0,0
Benin,2022-01-09,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-01-09,CMR,AFRO,0,0,0,0,0,0
Congo,2022-01-09,COG,AFRO,0,0,0,0,0,0
Liberia,2022-01-09,LBR,AFRO,0,0,0,0,0,0
Nigeria,2022-01-09,NGA,AFRO,1,0,0,1,0,0
South Africa,2022-01-09,ZAF,AFRO,0,0,0,0,0,0
Benin,2022-01-16,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-01-16,CMR,AFRO,0,0,0,0,0,0
Central African Republic,2022-01-16,CAF,AFRO,3,0,0,3,0,0
Congo,2022-01-16,COG,AFRO,0,0,0,0,0,0
Ghana,2022-01-16,GHA,AFRO,0,0,0,0,0,0
Liberia,2022-01-16,LBR,AFRO,0,0,0,0,0,0
Mozambique,2022-01-16,MOZ,AFRO,0,0,0,0,0,0
Nigeria,2022-01-16,NGA,AFRO,2,0,0,1,0,0
South Africa,2022-01-16,ZAF,AFRO,0,0,0,0,0,0
Japan,2022-01-19,JPN,WPRO,0,0,0,0,0,0
Benin,2022-01-23,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-01-23,CMR,AFRO,0,0,0,0,0,0
Central African Republic,2022-01-23,CAF,AFRO,3,0,0,0,0,0
Congo,2022-01-23,COG,AFRO,0,0,0,0,0,0
Ghana,2022-01-23,GHA,AFRO,0,0,0,0,0,0
Liberia,2022-01-23,LBR,AFRO,0,0,0,0,0,0
Mozambique,2022-01-23,MOZ,AFRO,0,0,0,0,0,0
Nigeria,2022-01-23,NGA,AFRO,3,0,0,1,0,0
South Africa,2022-01-23,ZAF,AFRO,0,0,0,0,0,0
Benin,2022-01-30,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-01-30,CMR,AFRO,0,0,0,0,0,0
Central African Republic,2022-01-30,CAF,AFRO,4,0,0,1,0,0
Congo,2022-01-30,COG,AFRO,0,0,0,0,0,0
Ghana,2022-01-30,GHA,AFRO,0,0,0,0,0,0
Liberia,2022-01-30,LBR,AFRO,0,0,0,0,0,0
Mozambique,2022-01-30,MOZ,AFRO,0,0,0,0,0,0
Nigeria,2022-01-30,NGA,AFRO,3,0,0,0,0,0
South Africa,2022-01-30,ZAF,AFRO,0,0,0,0,0,0
Benin,2022-02-06,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-02-06,CMR,AFRO,0,0,0,0,0,0
Central African Republic,2022-02-06,CAF,AFRO,5,0,0,1,0,0
Congo,2022-02-06,COG,AFRO,0,0,0,0,0,0
Ghana,2022-02-06,GHA,AFRO,0,0,0,0,0,0
Liberia,2022-02-06,LBR,AFRO,0,0,0,0,0,0
Nigeria,2022-02-06,NGA,AFRO,3,0,0,0,0,0
South Africa,2022-02-06,ZAF,AFRO,0,0,0,0,0,0
Mozambique,2022-02-10,MOZ,AFRO,0,0,0,0,0,0
Benin,2022-02-13,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-02-13,CMR,AFRO,0,0,0,0,0,0
Central African Republic,2022-02-13,CAF,AFRO,7,0,0,2,0,0
Congo,2022-02-13,COG,AFRO,0,0,0,0,0,0
Ghana,2022-02-13,GHA,AFRO,0,0,0,0,0,0
Liberia,2022-02-13,LBR,AFRO,0,0,0,0,0,0
Mozambique,2022-02-13,MOZ,AFRO,0,0,0,0,0,0
Nigeria,2022-02-13,NGA,AFRO,3,0,0,0,0,0
South Africa,2022-02-13,ZAF,AFRO,0,0,0,0,0,0
Benin,2022-02-20,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-02-20,CMR,AFRO,0,0,0,0,0,0
Central African Republic,2022-02-20,CAF,AFRO,11,0,0,4,0,0
Congo,2022-02-20,COG,AFRO,0,0,0,0,0,0
Ghana,2022-02-20,GHA,AFRO,0,0,0,0,0,0
Liberia,2022-02-20,LBR,AFRO,0,0,0,0,0,0
Mozambique,2022-02-20,MOZ,AFRO,0,0,0,0,0,0
Nigeria,2022-02-20,NGA,AFRO,4,0,0,1,0,0
South Africa,2022-02-20,ZAF,AFRO,0,0,0,0,0,0
Benin,2022-02-27,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-02-27,CMR,AFRO,0,0,0,0,0,0
Central African Republic,2022-02-27,CAF,AFRO,11,0,0,0,0,0
Congo,2022-02-27,COG,AFRO,0,0,0,0,0,0
Ghana,2022-02-27,GHA,AFRO,1,0,0,1,0,0
Liberia,2022-02-27,LBR,AFRO,0,0,0,0,0,0
Mozambique,2022-02-27,MOZ,AFRO,0,0,0,0,0,0
Nigeria,2022-02-27,NGA,AFRO,4,0,0,0,0,0
South Africa,2022-02-27,ZAF,AFRO,0,0,0,0,0,0
Mozambique,2022-03-04,MOZ,AFRO,0,0,0,0,0,0
Benin,2022-03-06,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-03-06,CMR,AFRO,1,0,0,1,0,0
Central African Republic,2022-03-06,CAF,AFRO,11,0,0,0,0,0
Congo,2022-03-06,COG,AFRO,0,0,0,0,0,0
Ghana,2022-03-06,GHA,AFRO,2,0,0,1,0,0
Liberia,2022-03-06,LBR,AFRO,0,0,0,0,0,0
Nigeria,2022-03-06,NGA,AFRO,6,0,0,2,0,0
South Africa,2022-03-06,ZAF,AFRO,0,0,0,0,0,0
Mozambique,2022-03-07,MOZ,AFRO,0,0,0,0,0,0
Benin,2022-03-13,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-03-13,CMR,AFRO,2,0,1,1,0,1
Central African Republic,2022-03-13,CAF,AFRO,11,0,0,0,0,0
Congo,2022-03-13,COG,AFRO,0,0,0,0,0,0
Ghana,2022-03-13,GHA,AFRO,2,0,0,0,0,0
Liberia,2022-03-13,LBR,AFRO,0,0,0,0,0,0
Mozambique,2022-03-13,MOZ,AFRO,0,0,0,0,0,0
Nigeria,2022-03-13,NGA,AFRO,9,0,0,3,0,0
South Africa,2022-03-13,ZAF,AFRO,0,0,0,0,0,0
Benin,2022-03-20,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-03-20,CMR,AFRO,3,0,1,1,0,0
Central African Republic,2022-03-20,CAF,AFRO,15,0,0,4,0,0
Congo,2022-03-20,COG,AFRO,0,0,0,0,0,0
Ghana,2022-03-20,GHA,AFRO,2,0,0,0,0,0
Liberia,2022-03-20,LBR,AFRO,0,0,0,0,0,0
Mozambique,2022-03-20,MOZ,AFRO,0,0,0,0,0,0
Nigeria,2022-03-20,NGA,AFRO,10,0,0,1,0,0
South Africa,2022-03-20,ZAF,AFRO,0,0,0,0,0,0
Benin,2022-03-27,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-03-27,CMR,AFRO,3,0,1,0,0,0
Central African Republic,2022-03-27,CAF,AFRO,17,0,0,2,0,0
Congo,2022-03-27,COG,AFRO,0,0,0,0,0,0
Ghana,2022-03-27,GHA,AFRO,2,0,0,0,0,0
Liberia,2022-03-27,LBR,AFRO,0,0,0,0,0,0
Mozambique,2022-03-27,MOZ,AFRO,0,0,0,0,0,0
Nigeria,2022-03-27,NGA,AFRO,10,0,0,0,0,0
South Africa,2022-03-27,ZAF,AFRO,0,0,0,0,0,0
Benin,2022-04-03,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-04-03,CMR,AFRO,3,0,1,0,0,0
Central African Republic,2022-04-03,CAF,AFRO,17,0,0,0,0,0
Congo,2022-04-03,COG,AFRO,0,0,0,0,0,0
Ghana,2022-04-03,GHA,AFRO,2,0,0,0,0,0
Liberia,2022-04-03,LBR,AFRO,0,0,0,0,0,0
Nigeria,2022-04-03,NGA,AFRO,11,0,0,1,0,0
South Africa,2022-04-03,ZAF,AFRO,0,0,0,0,0,0
Mozambique,2022-04-09,MOZ,AFRO,0,0,0,0,0,0
Benin,2022-04-10,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-04-10,CMR,AFRO,3,0,1,0,0,0
Central African Republic,2022-04-10,CAF,AFRO,17,0,0,0,0,0
Congo,2022-04-10,COG,AFRO,0,0,0,0,0,0
Ghana,2022-04-10,GHA,AFRO,2,0,0,0,0,0
Liberia,2022-04-10,LBR,AFRO,0,0,0,0,0,0
Nigeria,2022-04-10,NGA,AFRO,13,0,1,2,0,1
South Africa,2022-04-10,ZAF,AFRO,0,0,0,0,0,0
Mozambique,2022-04-12,MOZ,AFRO,0,0,0,0,0,0
Benin,2022-04-17,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-04-17,CMR,AFRO,3,0,1,0,0,0
Central African Republic,2022-04-17,CAF,AFRO,18,0,0,1,0,0
Congo,2022-04-17,COG,AFRO,0,0,0,0,0,0
Ghana,2022-04-17,GHA,AFRO,2,0,0,0,0,0
Liberia,2022-04-17,LBR,AFRO,0,0,0,0,0,0
Mozambique,2022-04-17,MOZ,AFRO,0,0,0,0,0,0
Nigeria,2022-04-17,NGA,AFRO,14,0,1,1,0,0
South Africa,2022-04-17,ZAF,AFRO,0,0,0,0,0,0
Benin,2022-04-24,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-04-24,CMR,AFRO,3,0,1,0,0,0
Central African Republic,2022-04-24,CAF,AFRO,18,0,0,0,0,0
Congo,2022-04-24,COG,AFRO,2,0,0,2,0,0
Ghana,2022-04-24,GHA,AFRO,2,0,0,0,0,0
Liberia,2022-04-24,LBR,AFRO,0,0,0,0,0,0
Mozambique,2022-04-24,MOZ,AFRO,0,0,0,0,0,0
Nigeria,2022-04-24,NGA,AFRO,14,0,1,0,0,0
South Africa,2022-04-24,ZAF,AFRO,0,0,0,0,0,0
Canada,2022-04-25,CAN,AMRO,3,0,0,3,0,0
Benin,2022-05-01,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-05-01,CMR,AFRO,4,0,1,1,0,0
Central African Republic,2022-05-01,CAF,AFRO,18,0,0,0,0,0
Congo,2022-05-01,COG,AFRO,2,0,0,0,0,0
Ghana,2022-05-01,GHA,AFRO,2,0,0,0,0,0
Liberia,2022-05-01,LBR,AFRO,0,0,0,0,0,0
Nigeria,2022-05-01,NGA,AFRO,15,0,1,1,0,0
South Africa,2022-05-01,ZAF,AFRO,0,0,0,0,0,0
Canada,2022-05-02,CAN,AMRO,15,0,0,12,0,0
Mozambique,2022-05-06,MOZ,AFRO,0,0,0,0,0,0
The United Kingdom,2022-05-07,GBR,EURO,1,0,0,1,0,0
Benin,2022-05-08,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-05-08,CMR,AFRO,4,0,1,0,0,0
Central African Republic,2022-05-08,CAF,AFRO,18,0,0,0,0,0
Congo,2022-05-08,COG,AFRO,2,0,0,0,0,0
Ghana,2022-05-08,GHA,AFRO,2,0,0,0,0,0
Liberia,2022-05-08,LBR,AFRO,0,0,0,0,0,0
Nigeria,2022-05-08,NGA,AFRO,15,0,1,0,0,0
South Africa,2022-05-08,ZAF,AFRO,0,0,0,0,0,0
Brazil,2022-05-09,BRA,AMRO,1,0,0,1,0,0
Canada,2022-05-09,CAN,AMRO,31,0,0,16,0,0
United States of America,2022-05-09,USA,AMRO,6,0,0,6,0,0
The United Kingdom,2022-05-14,GBR,EURO,3,0,0,2,0,0
Benin,2022-05-15,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-05-15,CMR,AFRO,4,0,1,0,0,0
Central African Republic,2022-05-15,CAF,AFRO,18,0,0,0,0,0
Congo,2022-05-15,COG,AFRO,2,0,0,0,0,0
Ghana,2022-05-15,GHA,AFRO,2,0,0,0,0,0
Liberia,2022-05-15,LBR,AFRO,0,0,0,0,0,0
Mozambique,2022-05-15,MOZ,AFRO,0,0,0,0,0,0
Nigeria,2022-05-15,NGA,AFRO,19,0,1,4,0,0
South Africa,2022-05-15,ZAF,AFRO,0,0,0,0,0,0
Brazil,2022-05-16,BRA,AMRO,2,0,0,1,0,0
Canada,2022-05-16,CAN,AMRO,59,0,0,28,0,0
Ireland,2022-05-16,IRL,EURO,1,0,0,1,0,0
Mexico,2022-05-16,MEX,AMRO,1,0,0,1,0,0
The United Kingdom,2022-05-16,GBR,EURO,7,0,0,4,0,0
United States of America,2022-05-16,USA,AMRO,24,0,0,18,0,0
Portugal,2022-05-17,PRT,EURO,3,0,0,3,0,0
Portugal,2022-05-18,PRT,EURO,5,0,0,2,0,0
Spain,2022-05-18,ESP,EURO,0,0,0,0,0,0
Sweden,2022-05-18,SWE,EURO,1,0,0,1,0,0
The United Kingdom,2022-05-18,GBR,EURO,9,0,0,2,0,0
Belgium,2022-05-19,BEL,EURO,1,0,0,1,0,0
France,2022-05-19,FRA,EURO,0,0,0,0,0,0
Italy,2022-05-19,ITA,EURO,1,0,0,1,0,0
Portugal,2022-05-19,PRT,EURO,14,0,0,9,0,0
Spain,2022-05-19,ESP,EURO,7,0,0,7,0,0
The United Kingdom,2022-05-19,GBR,EURO,9,0,0,0,0,0
Australia,2022-05-20,AUS,WPRO,2,0,0,2,0,0
Belgium,2022-05-20,BEL,EURO,3,0,0,2,0,0
Finland,2022-05-20,FIN,EURO,1,0,0,1,0,0
France,2022-05-20,FRA,EURO,1,0,0,1,0,0
Germany,2022-05-20,DEU,EURO,1,0,0,1,0,0
Italy,2022-05-20,ITA,EURO,3,0,0,2,0,0
Portugal,2022-05-20,PRT,EURO,23,0,0,9,0,0
Spain,2022-05-20,ESP,EURO,23,0,0,16,0,0
The United Kingdom,2022-05-20,GBR,EURO,20,0,0,11,0,0
Ireland,2022-05-21,IRL,EURO,2,0,0,1,0,0
Israel,2022-05-21,ISR,EURO,1,0,0,1,0,0
Portugal,2022-05-21,PRT,EURO,37,0,0,14,0,0
Switzerland,2022-05-21,CHE,EURO,1,0,0,1,0,0
The United Kingdom,2022-05-21,GBR,EURO,29,0,0,9,0,0
Benin,2022-05-22,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-05-22,CMR,AFRO,4,0,1,0,0,0
Central African Republic,2022-05-22,CAF,AFRO,18,0,0,0,0,0
Congo,2022-05-22,COG,AFRO,2,0,0,0,0,0
Germany,2022-05-22,DEU,EURO,3,0,0,2,0,0
Ghana,2022-05-22,GHA,AFRO,2,0,0,0,0,0
Liberia,2022-05-22,LBR,AFRO,0,0,0,0,0,0
Mozambique,2022-05-22,MOZ,AFRO,0,0,0,0,0,0
Netherlands,2022-05-22,NLD,EURO,2,0,0,2,0,0
Nigeria,2022-05-22,NGA,AFRO,21,0,1,2,0,0
South Africa,2022-05-22,ZAF,AFRO,0,0,0,0,0,0
Spain,2022-05-22,ESP,EURO,40,0,0,17,0,0
Argentina,2022-05-23,ARG,AMRO,2,0,0,2,0,0
Austria,2022-05-23,AUT,EURO,1,0,0,1,0,0
Belgium,2022-05-23,BEL,EURO,4,0,0,1,0,0
Brazil,2022-05-23,BRA,AMRO,4,0,0,2,0,0
Canada,2022-05-23,CAN,AMRO,107,0,0,48,0,0
Denmark,2022-05-23,DNK,EURO,1,0,0,1,0,0
Germany,2022-05-23,DEU,EURO,4,0,0,1,0,0
Italy,2022-05-23,ITA,EURO,4,0,0,1,0,0
Mexico,2022-05-23,MEX,AMRO,1,0,0,0,0,0
Netherlands,2022-05-23,NLD,EURO,5,0,0,3,0,0
The United Kingdom,2022-05-23,GBR,EURO,56,0,0,27,0,0
United States of America,2022-05-23,USA,AMRO,39,0,0,15,0,0
Czechia,2022-05-24,CZE,EURO,1,0,0,1,0,0
Denmark,2022-05-24,DNK,EURO,2,0,0,1,0,0
France,2022-05-24,FRA,EURO,3,0,0,2,0,0
Germany,2022-05-24,DEU,EURO,6,0,0,2,0,0
Ireland,2022-05-24,IRL,EURO,3,0,0,1,0,0
Netherlands,2022-05-24,NLD,EURO,6,0,0,1,0,0
Slovenia,2022-05-24,SVN,EURO,1,0,0,1,0,0
The United Kingdom,2022-05-24,GBR,EURO,71,0,0,15,0,0
United Arab Emirates,2022-05-24,ARE,EMRO,4,0,0,4,0,0
France,2022-05-25,FRA,EURO,5,0,0,2,0,0
Germany,2022-05-25,DEU,EURO,10,0,0,4,0,0
Ireland,2022-05-25,IRL,EURO,4,0,0,1,0,0
Italy,2022-05-25,ITA,EURO,5,0,0,1,0,0
Portugal,2022-05-25,PRT,EURO,74,0,0,37,0,0
Slovenia,2022-05-25,SVN,EURO,2,0,0,1,0,0
Switzerland,2022-05-25,CHE,EURO,2,0,0,1,0,0
Belgium,2022-05-26,BEL,EURO,6,0,0,2,0,0
Czechia,2022-05-26,CZE,EURO,5,0,0,4,0,0
France,2022-05-26,FRA,EURO,7,0,0,2,0,0
Italy,2022-05-26,ITA,EURO,8,0,0,3,0,0
Netherlands,2022-05-26,NLD,EURO,26,0,0,20,0,0
Sweden,2022-05-26,SWE,EURO,2,0,0,1,0,0
The United Kingdom,2022-05-26,GBR,EURO,90,0,0,19,0,0
Finland,2022-05-27,FIN,EURO,1,0,0,0,0,0
Germany,2022-05-27,DEU,EURO,15,0,0,5,0,0
Ireland,2022-05-27,IRL,EURO,7,0,0,3,0,0
Switzerland,2022-05-27,CHE,EURO,3,0,0,1,0,0
The United Kingdom,2022-05-27,GBR,EURO,106,0,0,16,0,0
Benin,2022-05-29,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-05-29,CMR,AFRO,4,0,1,0,0,0
Central African Republic,2022-05-29,CAF,AFRO,18,0,0,0,0,0
Congo,2022-05-29,COG,AFRO,2,0,0,0,0,0
Ghana,2022-05-29,GHA,AFRO,2,0,0,0,0,0
Ireland,2022-05-29,IRL,EURO,8,0,0,1,0,0
Liberia,2022-05-29,LBR,AFRO,0,0,0,0,0,0
Mozambique,2022-05-29,MOZ,AFRO,0,0,0,0,0,0
Nigeria,2022-05-29,NGA,AFRO,21,0,1,0,0,0
South Africa,2022-05-29,ZAF,AFRO,0,0,0,0,0,0
Argentina,2022-05-30,ARG,AMRO,2,0,0,0,0,0
Austria,2022-05-30,AUT,EURO,1,0,0,0,0,0
Brazil,2022-05-30,BRA,AMRO,11,0,0,7,0,0
Canada,2022-05-30,CAN,AMRO,173,0,0,66,0,0
Chile,2022-05-30,CHL,AMRO,1,0,0,1,0,0
Colombia,2022-05-30,COL,AMRO,2,0,0,2,0,0
Czechia,2022-05-30,CZE,EURO,5,0,0,0,0,0
France,2022-05-30,FRA,EURO,16,0,0,9,0,0
Germany,2022-05-30,DEU,EURO,21,0,0,6,0,0
Ireland,2022-05-30,IRL,EURO,9,0,0,1,0,0
Israel,2022-05-30,ISR,EURO,2,0,0,1,0,0
Italy,2022-05-30,ITA,EURO,14,0,0,6,0,0
Malta,2022-05-30,MLT,EURO,1,0,0,1,0,0
Mexico,2022-05-30,MEX,AMRO,5,0,0,4,0,0
Spain,2022-05-30,ESP,EURO,98,0,0,58,0,0
Switzerland,2022-05-30,CHE,EURO,4,0,0,1,0,0
The United Kingdom,2022-05-30,GBR,EURO,179,0,0,73,0,0
United States of America,2022-05-30,USA,AMRO,91,0,0,52,0,0
Austria,2022-05-31,AUT,EURO,1,0,0,0,0,0
Belgium,2022-05-31,BEL,EURO,10,0,0,4,0,0
Denmark,2022-05-31,DNK,EURO,2,0,0,0,0,0
France,2022-05-31,FRA,EURO,17,0,0,1,0,0
Germany,2022-05-31,DEU,EURO,33,0,0,12,0,0
Hungary,2022-05-31,HUN,EURO,1,0,0,1,0,0
Norway,2022-05-31,NOR,EURO,1,0,0,1,0,0
Portugal,2022-05-31,PRT,EURO,100,0,0,26,0,0
Sweden,2022-05-31,SWE,EURO,4,0,0,2,0,0
The United Kingdom,2022-05-31,GBR,EURO,190,0,0,11,0,0
Austria,2022-06-01,AUT,EURO,1,0,0,0,0,0
Finland,2022-06-01,FIN,EURO,1,0,0,0,0,0
Germany,2022-06-01,DEU,EURO,44,0,0,11,0,0
Netherlands,2022-06-01,NLD,EURO,26,0,0,0,0,0
Norway,2022-06-01,NOR,EURO,2,0,0,1,0,0
Portugal,2022-06-01,PRT,EURO,119,0,0,19,0,0
Spain,2022-06-01,ESP,EURO,142,0,0,44,0,0
The United Kingdom,2022-06-01,GBR,EURO,196,0,0,6,0,0
Australia,2022-06-02,AUS,WPRO,3,0,0,1,0,0
Belgium,2022-06-02,BEL,EURO,14,0,0,4,0,0
France,2022-06-02,FRA,EURO,33,0,0,16,0,0
Germany,2022-06-02,DEU,EURO,57,0,0,13,0,0
Gibraltar,2022-06-02,GIB,EURO,1,0,0,1,0,0
Italy,2022-06-02,ITA,EURO,20,0,0,6,0,0
Morocco,2022-06-02,MAR,EMRO,1,0,0,1,0,0
Mozambique,2022-06-02,MOZ,AFRO,0,0,0,0,0,0
Portugal,2022-06-02,PRT,EURO,138,0,0,19,0,0
Slovenia,2022-06-02,SVN,EURO,3,0,0,1,0,0
Spain,2022-06-02,ESP,EURO,156,0,0,14,0,0
The United Kingdom,2022-06-02,GBR,EURO,207,0,0,11,0,0
United Arab Emirates,2022-06-02,ARE,EMRO,8,0,0,4,0,0
Australia,2022-06-03,AUS,WPRO,5,0,0,2,0,0
Belgium,2022-06-03,BEL,EURO,17,0,0,3,0,0
Czechia,2022-06-03,CZE,EURO,6,0,0,1,0,0
Finland,2022-06-03,FIN,EURO,2,0,0,1,0,0
Germany,2022-06-03,DEU,EURO,65,0,0,8,0,0
Latvia,2022-06-03,LVA,EURO,1,0,0,1,0,0
Mozambique,2022-06-03,MOZ,AFRO,0,0,0,0,0,0
Netherlands,2022-06-03,NLD,EURO,40,0,0,14,0,0
Portugal,2022-06-03,PRT,EURO,143,0,0,5,0,0
Spain,2022-06-03,ESP,EURO,186,0,0,30,0,0
Sweden,2022-06-03,SWE,EURO,5,0,0,1,0,0
Switzerland,2022-06-03,CHE,EURO,6,0,0,2,0,0
The United Kingdom,2022-06-03,GBR,EURO,225,0,0,18,0,0
Australia,2022-06-04,AUS,WPRO,5,0,0,0,0,0
France,2022-06-04,FRA,EURO,51,0,0,18,0,0
Portugal,2022-06-04,PRT,EURO,143,0,0,0,0,0
Switzerland,2022-06-04,CHE,EURO,8,0,0,2,0,0
Benin,2022-06-05,BEN,AFRO,0,0,0,0,0,0
Cameroon,2022-06-05,CMR,AFRO,5,0,1,1,0,0
Central African Republic,2022-06-05,CAF,AFRO,18,0,0,0,0,0
Congo,2022-06-05,COG,AFRO,2,0,0,0,0,0
Ghana,2022-06-05,GHA,AFRO,8,0,0,6,0,0
Liberia,2022-06-05,LBR,AFRO,0,0,0,0,0,0
Nigeria,2022-06-05,NGA,AFRO,32,0,2,11,0,1
South Africa,2022-06-05,ZAF,AFRO,0,0,0,0,0,0
Argentina,2022-06-06,ARG,AMRO,3,0,0,1,0,0
Australia,2022-06-06,AUS,WPRO,6,0,0,1,0,0
Bahamas,2022-06-06,BHS,AMRO,1,0,0,1,0,0
Brazil,2022-06-06,BRA,AMRO,23,0,0,12,0,0
Canada,2022-06-06,CAN,AMRO,236,0,0,63,0,0
Chile,2022-06-06,CHL,AMRO,2,0,0,1,0,0
Colombia,2022-06-06,COL,AMRO,2,0,0,0,0,0
Denmark,2022-06-06,DNK,EURO,3,0,0,1,0,0
Ecuador,2022-06-06,ECU,AMRO,1,0,0,1,0,0
Ireland,2022-06-06,IRL,EURO,10,0,0,1,0,0
Mexico,2022-06-06,MEX,AMRO,14,0,0,9,0,0
Portugal,2022-06-06,PRT,EURO,153,0,0,10,0,0
Slovenia,2022-06-06,SVN,EURO,6,0,0,3,0,0
The United Kingdom,2022-06-06,GBR,EURO,302,0,0,77,0,0
United States of America,2022-06-06,USA,AMRO,189,0,0,98,0,0
Australia,2022-06-07,AUS,WPRO,6,0,0,0,0,0
Austria,2022-06-07,AUT,EURO,1,0,0,0,0,0
Belgium,2022-06-07,BEL,EURO,17,0,0,0,0,0
Czechia,2022-06-07,CZE,EURO,6,0,0,0,0,0
Denmark,2022-06-07,DNK,EURO,3,0,0,0,0,0
Finland,2022-06-07,FIN,EURO,2,0,0,0,0,0
France,2022-06-07,FRA,EURO,66,0,0,15,0,0
Germany,2022-06-07,DEU,EURO,80,0,0,15,0,0
Hungary,2022-06-07,HUN,EURO,1,0,0,0,0,0
Israel,2022-06-07,ISR,EURO,2,0,0,0,0,0
Italy,2022-06-07,ITA,EURO,20,0,0,0,0,0
Latvia,2022-06-07,LVA,EURO,1,0,0,0,0,0
Malta,2022-06-07,MLT,EURO,1,0,0,0,0,0
Morocco,2022-06-07,MAR,EMRO,1,0,0,0,0,0
Netherlands,2022-06-07,NLD,EURO,40,0,0,0,0,0
Norway,2022-06-07,NOR,EURO,2,0,0,0,0,0
Portugal,2022-06-07,PRT,EURO,166,0,0,13,0,0
Slovenia,2022-06-07,SVN,EURO,6,0,0,0,0,0
Spain,2022-06-07,ESP,EURO,198,0,0,12,0,0
Sweden,2022-06-07,SWE,EURO,5,0,0,0,0,0
Switzerland,2022-06-07,CHE,EURO,8,0,0,0,0,0
The United Kingdom,2022-06-07,GBR,EURO,302,0,0,0,0,0
United Arab Emirates,2022-06-07,ARE,EMRO,8,0,0,0,0,0
Australia,2022-06-08,AUS,WPRO,6,0,0,0,0,0
Austria,2022-06-08,AUT,EURO,1,0,0,0,0,0
Belgium,2022-06-08,BEL,EURO,17,0,0,0,0,0
Czechia,2022-06-08,CZE,EURO,6,0,0,0,0,0
Denmark,2022-06-08,DNK,EURO,3,0,0,0,0,0
Finland,2022-06-08,FIN,EURO,2,0,0,0,0,0
France,2022-06-08,FRA,EURO,66,0,0,0,0,0
Germany,2022-06-08,DEU,EURO,113,0,0,33,0,0
Hungary,2022-06-08,HUN,EURO,1,0,0,0,0,0
Ireland,2022-06-08,IRL,EURO,12,0,0,2,0,0
Israel,2022-06-08,ISR,EURO,3,0,0,1,0,0
Italy,2022-06-08,ITA,EURO,20,0,0,0,0,0
Latvia,2022-06-08,LVA,EURO,1,0,0,0,0,0
Malta,2022-06-08,MLT,EURO,1,0,0,0,0,0
Morocco,2022-06-08,MAR,EMRO,1,0,0,0,0,0
Netherlands,2022-06-08,NLD,EURO,54,0,0,14,0,0
Norway,2022-06-08,NOR,EURO,2,0,0,0,0,0
Portugal,2022-06-08,PRT,EURO,191,0,0,25,0,0
Slovenia,2022-06-08,SVN,EURO,6,0,0,0,0,0
Spain,2022-06-08,ESP,EURO,198,0,0,0,0,0
Sweden,2022-06-08,SWE,EURO,5,0,0,0,0,0
Switzerland,2022-06-08,CHE,EURO,10,0,0,2,0,0
The United Kingdom,2022-06-08,GBR,EURO,321,0,0,19,0,0
United Arab Emirates,2022-06-08,ARE,EMRO,13,0,0,5,0,0
Australia,2022-06-09,AUS,WPRO,6,0,0,0,0,0
Austria,2022-06-09,AUT,EURO,1,0,0,0,0,0
Belgium,2022-06-09,BEL,EURO,24,0,0,7,0,0
Czechia,2022-06-09,CZE,EURO,6,0,0,0,0,0
Denmark,2022-06-09,DNK,EURO,3,0,0,0,0,0
Finland,2022-06-09,FIN,EURO,2,0,0,0,0,0
France,2022-06-09,FRA,EURO,66,0,0,0,0,0
Germany,2022-06-09,DEU,EURO,131,0,0,18,0,0
Greece,2022-06-09,GRC,EURO,0,0,0,0,0,0
Hungary,2022-06-09,HUN,EURO,1,0,0,0,0,0
Iceland,2022-06-09,ISL,EURO,0,0,0,0,0,0
Ireland,2022-06-09,IRL,EURO,13,0,0,1,0,0
Israel,2022-06-09,ISR,EURO,3,0,0,0,0,0
Italy,2022-06-09,ITA,EURO,20,0,0,0,0,0
Latvia,2022-06-09,LVA,EURO,1,0,0,0,0,0
Malta,2022-06-09,MLT,EURO,1,0,0,0,0,0
Morocco,2022-06-09,MAR,EMRO,1,0,0,0,0,0
Netherlands,2022-06-09,NLD,EURO,54,0,0,0,0,0
