time,event,degree,inf_id
0.0,1,1.0,1
0.0,1,40.0,2
0.0,6,40.0,2
0.12157575378021179,1,2.0,3
0.2366658062673231,1,29.0,4
0.37138424013196986,1,42.0,5
0.6818141441094943,6,2.0,3
0.7136500690715061,1,38.0,6
0.7570891075753159,6,42.0,5
0.8387634495331924,1,35.0,7
0.9166979360027823,8,2.0,3
0.9602878610197448,1,47.0,8
0.9827389034665905,6,38.0,6
0.9888205328012336,1,60.0,9
0.9965293129588799,1,1.0,10
1.0110379904533826,1,12.0,11
1.0130445247076816,18,,0
1.0131159841236812,101,16.0,12
1.0300467805902354,18,,0
1.0300556540516947,101,3.0,13
1.0359772970370567,1,39.0,14
1.062630351614925,1,6.0,15
1.0968037474639258,8,3.0,13
1.1268289228685142,6,39.0,14
1.152278295000849,1,55.0,16
1.1626723450043048,6,12.0,11
1.2023231346788057,1,31.0,17
1.2309445375666523,1,57.0,18
1.2524540014791123,6,57.0,18
1.2544580872563345,1,6.0,19
1.2802138462751937,1,45.0,20
1.2906788541516103,6,6.0,15
1.3140193969128195,6,29.0,4
1.3489335157557687,1,54.0,21
1.3707170309135492,1,1.0,22
1.3733705837355097,8,16.0,12
1.3792949801424172,1,26.0,23
1.3941374704952854,1,2.0,24
1.4173546721748247,6,47.0,8
1.4476538151796075,1,2.0,25
1.4532666216093573,6,2.0,25
1.4737525318293407,1,17.0,26
1.5275415006262576,6,55.0,16
1.5488672620655801,1,11.0,27
1.5676048332726669,1,16.0,28
1.609667671803616,1,53.0,29
1.6107628901149362,1,34.0,30
1.6169927261697463,1,8.0,31
1.6436768729395206,6,11.0,27
1.6485506556584604,1,51.0,32
1.6498885841420192,1,13.0,33
1.6503407168326578,1,57.0,34
1.747923092701327,1,54.0,35
1.7601419393452287,1,8.0,36
1.774802305087492,6,6.0,19
1.788951255510769,1,53.0,37
1.8033093903528732,6,53.0,29
1.8054412877608679,9,2.0,3
1.85490681719726,1,46.0,38
1.8599397021086457,1,4.0,39
1.8829139714819203,6,17.0,26
1.8882804583640778,1,1.0,40
1.9061228372299852,1,6.0,41
1.9441642852027754,1,48.0,42
1.957819831428247,1,38.0,43
1.9670197537811898,2,4.0,44
1.985780762799204,6,54.0,35
1.9981344280714857,6,35.0,7
2.0036495715499796,18,,0
2.0037358938340226,101,7.0,45
2.0047212230691254,6,1.0,40
2.007604148102857,18,,0
2.007628319563026,101,5.0,46
2.008640168245828,18,,0
2.0087782482763488,101,23.0,47
2.0153517655932207,18,,0
2.0153673167258335,101,1.0,48
2.023767791265504,1,33.0,49
2.0352879868894376,18,,0
2.0353847774745537,101,51.0,50
2.035559552407932,1,43.0,51
2.0453626613143148,1,49.0,52
2.047497742566644,18,,0
2.047519085972708,101,7.0,53
2.0546670001481506,1,51.0,54
2.0871648877232176,1,8.0,55
2.10160247160366,6,43.0,51
2.1029750210026443,1,59.0,56
2.13411858952434,1,41.0,57
2.1471346055195473,1,2.0,58
2.1755395974853067,1,50.0,59
2.1875306080082506,1,5.0,60
2.197375630606141,1,10.0,61
2.201021083753678,1,49.0,62
2.203356000440455,1,45.0,63
2.20877033301854,1,23.0,64
2.2233364587435487,1,41.0,65
2.2238011072586086,1,11.0,66
2.2244601448037935,1,8.0,67
2.227634297113612,1,38.0,68
2.2369296753031693,1,9.0,69
2.2434854293705597,1,8.0,70
2.2448199945299927,1,40.0,71
2.2501509653906226,1,24.0,72
2.26605544051258,6,31.0,17
2.2759520934497557,1,42.0,73
2.2852742313098577,1,53.0,74
2.287320238581119,1,5.0,75
2.297258362004298,1,41.0,76
2.3046827943412955,6,50.0,59
2.308416795757603,7,6.0,19
2.326709444752622,1,36.0,77
2.328326132193586,1,60.0,78
2.331928913567288,6,11.0,66
2.3354210615828226,1,31.0,79
2.3632106504689774,6,36.0,77
2.3676616316574437,1,57.0,80
2.3754710961438947,8,23.0,47
2.3935547634167897,1,59.0,81
2.397254832609353,1,14.0,82
2.4056826274334506,8,57.0,18
2.410051093891321,6,31.0,79
2.412807616222693,6,59.0,56
2.4136713599965245,6,8.0,67
2.4231356684908048,1,42.0,83
2.433519727021039,1,48.0,84
2.4476842225287307,7,42.0,5
2.448801106785366,1,11.0,85
2.4672381778227153,1,5.0,86
2.4864964466895816,6,34.0,30
2.494075288728777,6,1.0,1
2.498909314229769,7,6.0,15
2.517647995813266,6,60.0,9
2.523390055644152,6,16.0,28
2.5235928467960327,1,10.0,87
2.523720876027795,1,2.0,88
2.527452769391405,6,4.0,39
2.5389443149133277,1,60.0,89
2.543133437939079,6,2.0,24
2.568253672854081,6,42.0,73
2.5860191177156704,8,47.0,8
2.586394374919474,6,10.0,61
2.5875868059784324,1,48.0,90
2.6019109391020514,1,1.0,91
2.612159404067702,1,47.0,92
2.619704854630205,1,2.0,93
2.620996877210179,1,8.0,94
2.6240141649837847,1,12.0,95
2.6291978995582244,1,18.0,96
2.6310464738104193,6,49.0,52
2.6389221270857375,6,5.0,75
2.643243398344226,1,56.0,97
2.6497106879331493,6,56.0,97
2.6503994990670017,1,38.0,98
2.6542736454368194,6,11.0,85
2.655008061653871,1,34.0,99
2.6633686315022995,9,16.0,12
2.665424066028834,1,57.0,100
2.690532931172538,1,59.0,101
2.693271203059316,6,8.0,94
2.7154631100551176,1,6.0,102
2.724186679776492,1,4.0,103
2.724841534199155,1,1.0,104
2.7250279763257432,1,40.0,105
2.7343621424471882,1,5.0,106
2.7513047129083428,1,59.0,107
2.752794059992994,6,8.0,55
2.7560658881298,1,30.0,108
2.7590026713573725,1,2.0,109
2.767240687939802,8,51.0,50
2.7729191380129397,2,8.0,110
2.791022211049089,6,59.0,101
2.812659524239467,1,3.0,111
2.816068997251118,6,2.0,93
2.8211620300995826,1,1.0,112
2.8424160170247617,1,1.0,113
2.842832260817452,6,41.0,76
2.84300944927794,1,57.0,114
2.845180324715402,1,10.0,115
2.8580519852094155,6,10.0,115
2.8584236796512044,1,38.0,116
2.8626141317710805,6,26.0,23
2.8689265218851894,2,1.0,117
2.875077310740856,1,4.0,118
2.8812208808569704,1,4.0,119
2.88659989103486,1,1.0,120
2.8909368469282235,6,1.0,10
2.8953589380621847,1,54.0,121
2.8986448502329947,7,43.0,51
2.9008782083511067,1,25.0,122
2.911106596567132,6,48.0,84
2.9122137344894776,8,7.0,53
2.9204680257439066,1,5.0,123
2.9209081540879827,7,40.0,2
2.924193634258697,6,57.0,100
2.925297612543156,6,4.0,119
2.925298558585811,6,1.0,22
2.9329698262211106,6,47.0,92
2.940053257721652,1,7.0,124
2.940294670852309,1,54.0,125
2.9441182908404167,7,39.0,14
2.9467693666977297,6,38.0,98
2.9485704337118666,1,5.0,126
2.949549858523186,1,5.0,127
2.9544036026820404,6,1.0,120
2.9560791641852817,1,2.0,128
2.9636003583262283,6,41.0,65
2.964291478442171,1,55.0,129
2.968865195317819,1,38.0,130
2.980231709669667,6,5.0,126
2.9803631560798323,6,6.0,102
2.982638937277372,7,29.0,4
2.983756460771856,6,1.0,113
2.984058660964609,1,3.0,131
3.0002335621977183,1,6.0,132
3.011857666903893,18,,0
3.0118740467083667,101,36.0,133
3.0120051915686794,6,4.0,103
3.012932910164167,1,37.0,134
3.0175338733913426,6,51.0,32
3.018395157704776,6,8.0,70
3.018448991499467,18,,0
3.0184726412363645,101,48.0,135
3.021892585786031,1,1.0,136
3.02220472767533,1,2.0,137
3.025623204575885,18,,0
3.025627630372445,101,9.0,138
3.026912755510085,18,,0
3.026957632287284,101,43.0,139
3.02724677166709,1,3.0,140
3.0303078934081826,18,,0
3.030312692680951,101,4.0,141
3.0306665366303798,18,,0
3.0307186880201504,101,8.0,142
3.034121984774944,1,50.0,143
3.0347110842323697,18,,0
3.034783467903762,101,1.0,144
3.0368878056161726,18,,0
3.036981359023626,101,51.0,145
3.039120837217094,18,,0
3.03916124821614,101,19.0,146
3.041526401361554,1,2.0,147
3.0424910738267053,18,,0
3.0425600359357183,101,24.0,148
3.045848397663469,18,,0
3.0458766518770073,101,2.0,149
3.0466631577325085,18,,0
3.046730137246655,101,2.0,150
3.049643722772634,18,,0
3.0496795167663566,101,60.0,151
3.054606201782243,6,48.0,42
3.0608855015231464,1,60.0,152
3.0616766887628586,1,7.0,153
3.0638656004609266,1,38.0,154
3.071548269934328,1,8.0,155
3.072624520268461,1,24.0,156
3.0751987939649883,1,3.0,157
3.078638851031494,1,55.0,158
3.082633144576884,1,6.0,159
3.084329345488783,1,37.0,160
3.0845284434762417,2,8.0,161
3.0849460420658987,6,49.0,62
3.0849471765252954,1,43.0,162
3.0918315386220243,1,26.0,163
3.0918990002823463,1,3.0,164
3.0922194754969343,1,50.0,165
3.100503862852894,6,6.0,132
3.103085626157199,1,15.0,166
3.1034032523774155,8,60.0,151
3.1095156284433276,1,5.0,167
3.1315249700912515,9,47.0,8
3.1326424369725663,6,7.0,124
3.1343781666535344,1,16.0,168
3.135526806113269,8,5.0,46
3.136603624114623,6,38.0,43
3.142220198301212,1,33.0,169
3.147170664847172,1,40.0,170
3.1482867591092374,1,4.0,171
3.161012244478064,6,9.0,69
3.1628039946171724,1,54.0,172
3.1638741147285225,1,13.0,173
3.166647899738728,1,5.0,174
3.1684696718838095,1,41.0,175
3.1695792814369823,1,8.0,176
3.1726879791721756,1,20.0,177
3.172859396601054,1,51.0,178
3.1728655686202933,1,11.0,179
3.1737210311631157,1,26.0,180
3.177351382717762,1,10.0,181
3.178173296786714,6,10.0,181
3.1790067342226562,6,60.0,89
3.1953020836040342,6,14.0,82
3.1962910265041513,1,14.0,182
3.2045485252973402,1,5.0,183
3.2085391700318504,7,12.0,11
3.21663234403522,1,8.0,184
3.222892894214669,1,50.0,185
3.2319140597674743,1,38.0,186
3.2324627339591534,1,33.0,187
3.2358393990249246,8,19.0,146
3.2363654109290563,6,55.0,129
3.24035990566219,6,34.0,99
3.2411131783425686,8,7.0,45
3.2426837523272454,1,6.0,188
3.245893732846217,1,2.0,189
3.2476630103175483,1,3.0,190
3.2546150476179654,1,30.0,191
3.255137647207259,9,51.0,50
3.2576460921255137,1,5.0,192
3.260989130811189,1,58.0,193
3.261086102045101,6,41.0,57
3.26589069735129,1,52.0,194
3.2672764766525537,9,7.0,45
3.271567684920995,8,49.0,62
3.2807981606864933,6,16.0,168
3.282875269426963,6,4.0,44
3.285091253847412,9,5.0,46
3.2887037956333227,1,17.0,195
3.2972776741299854,1,42.0,196
3.298245423627183,1,10.0,197
3.308103971835303,8,36.0,133
3.310794547105486,1,6.0,198
3.322310556739929,1,1.0,199
3.323910321688379,6,55.0,158
3.3251147838825688,6,38.0,186
3.337355728871907,6,6.0,159
3.337499507425406,1,5.0,200
3.3376183940812894,1,14.0,201
3.3443312996793804,1,55.0,202
3.3488661958992827,1,5.0,203
3.3505831591778756,1,42.0,204
3.3512702659549376,1,50.0,205
3.356279455696594,6,14.0,182
3.3572543591058643,1,8.0,206
3.3612917070535064,1,18.0,207
3.367088667169925,1,54.0,208
3.368057399495312,1,49.0,209
3.3751770164417336,1,11.0,210
3.376123143579475,1,1.0,211
3.3780263656898253,8,9.0,69
3.3797600170289646,7,54.0,35
3.381517058399144,6,33.0,49
3.384261209618835,1,1.0,212
3.390453934662853,6,10.0,87
3.391334425983703,1,42.0,213
3.391892595133734,6,13.0,173
3.3924411857273187,8,2.0,25
3.393152602623511,1,56.0,214
3.3949297838604,7,11.0,27
3.3960971623864142,8,1.0,48
3.396342754309199,6,50.0,205
3.3980468683566136,1,20.0,215
3.3997368413468605,6,3.0,190
3.402658488920408,1,29.0,216
3.4058461430923064,6,1.0,112
3.4078741893806783,1,57.0,217
3.4107408421038468,1,27.0,218
3.4108083449048974,7,35.0,7
3.423322090514292,1,2.0,219
3.437253744441912,6,50.0,165
3.4373215930576086,6,2.0,128
3.4376274003391694,6,54.0,172
3.441182465464883,6,6.0,188
3.44565083900234,1,51.0,220
3.4479319828013337,1,29.0,221
3.448547551913174,6,60.0,152
3.4589037920802106,1,53.0,222
3.463207110523711,6,57.0,114
3.4638737182507615,1,54.0,223
3.4663696732187277,8,9.0,138
3.4705836917660817,1,44.0,224
3.4753295232169368,6,53.0,74
3.475882916084337,6,18.0,96
3.4786075237610428,6,5.0,106
3.4796566702244114,6,5.0,127
3.4804701177748654,1,3.0,225
3.4830452598374317,1,1.0,226
3.483651113957896,1,44.0,227
3.4851479742190783,1,1.0,228
3.4852528590736633,6,8.0,176
3.4859363488697213,6,4.0,118
3.486465501332714,1,31.0,229
3.4921455810633883,1,40.0,230
3.4933595169990763,1,15.0,231
3.4955648064196425,1,3.0,232
3.4956252306396642,1,1.0,233
3.496966771727644,9,2.0,25
3.4983108869474973,6,29.0,216
3.504978915904452,1,6.0,234
3.5054951016264373,6,1.0,228
3.5074832243681646,6,54.0,223
3.510437421340484,1,7.0,235
3.510789040599811,1,54.0,236
3.5126717491620876,6,38.0,154
3.513669068683258,6,26.0,180
3.5170837703924125,6,17.0,195
3.5176103480259937,1,60.0,237
3.5200769457600267,1,45.0,238
3.5226243292663972,8,48.0,135
3.5251844491506974,6,2.0,58
3.5254484749937856,7,17.0,26
3.5254484749937856,16,17.0,26
3.526646766909262,1,2.0,239
3.528492198979173,1,3.0,240
3.5353912514732597,1,34.0,241
3.5361744160960424,8,47.0,92
3.5434169698666573,1,57.0,242
3.5451495488285603,1,45.0,243
3.549045670134517,6,3.0,131
3.551362049142896,6,18.0,207
3.5548831483122325,7,55.0,16
3.5585395620154645,6,5.0,192
3.5598404549664897,1,46.0,244
3.5619030348301925,1,41.0,245
3.5628796319011413,8,24.0,148
3.5701481337328236,1,1.0,246
3.5711767393975116,1,37.0,247
3.5726092635368807,1,53.0,248
3.5743227792774843,1,32.0,249
3.579108487143209,1,5.0,250
3.581048330233836,1,1.0,251
3.5823077132179013,8,51.0,145
3.582327682500989,1,20.0,252
3.587163492668266,6,26.0,163
3.5904842274024666,2,57.0,253
3.5998333278883505,1,5.0,254
3.6020851232579947,1,1.0,255
3.6021527313959165,6,45.0,238
3.6057231228681452,1,24.0,256
3.610819707152142,6,1.0,226
3.6117059918283436,1,13.0,257
3.616096239527026,6,1.0,199
3.618275238968491,1,1.0,258
3.618954585542495,6,8.0,184
3.619914187797464,1,5.0,259
3.620636945234141,1,50.0,260
3.623161615198871,1,41.0,261
3.6304867445518902,1,50.0,262
3.6390060925437435,1,46.0,263
3.6451061524191126,1,2.0,264
3.6455479245210953,6,48.0,90
3.648137305312864,1,11.0,265
3.6484389405999345,1,3.0,266
3.65270813761749,6,50.0,260
3.656132336184168,6,37.0,160
3.65620895860891,6,46.0,263
3.6643308527230047,6,6.0,198
3.665343162869942,1,58.0,267
3.6656286739773947,1,6.0,268
3.666062943723466,1,51.0,269
3.6669315078712676,6,15.0,231
3.670688690153052,6,27.0,218
3.6729698698323237,1,35.0,270
3.6732951262019937,6,40.0,170
3.674584550823839,1,5.0,271
3.6772681235608875,1,60.0,272
3.6779048236374923,1,44.0,273
3.680626281929209,7,38.0,6
3.682156408515515,7,41.0,65
3.6833722304433225,6,3.0,140
3.6846755133217983,1,15.0,274
3.690755274942266,1,10.0,275
3.699639106712403,9,48.0,135
3.7060855930160033,6,60.0,237
3.7070447167565574,1,59.0,276
3.7144815682831958,6,2.0,147
3.7149473191680067,1,5.0,277
3.715655968616536,6,50.0,143
3.7177154677826683,1,54.0,278
3.7180414624473905,1,2.0,279
3.7376722301720218,1,57.0,280
3.738982774127296,1,2.0,281
3.7393984588883127,1,3.0,282
3.7394062911726254,6,50.0,185
3.7451744638926607,6,8.0,36
3.7455591911986423,1,3.0,283
